date,Target_Flower,Google_Trend_Score
"Feb 1 – 7, 2026",marigold,47
"Feb 8 – 14, 2026",marigold,55
"Feb 15 – 21, 2026",marigold,56
"Feb 22 – 28, 2026",marigold,47
"Mar 1 – 7, 2026",marigold,45
"Mar 8 – 14, 2026",marigold,49
"Mar 2 – 8, 2025",poppy,34
"Mar 9 – 15, 2025",poppy,30
"Mar 16 – 22, 2025",poppy,30
"Mar 23 – 29, 2025",poppy,28
"Mar 30 – Apr 5, 2025",poppy,28
"Apr 6 – 12, 2025",poppy,27
"Apr 13 – 19, 2025",poppy,26
"Apr 20 – 26, 2025",poppy,24
"Apr 27 – May 3, 2025",poppy,22
"May 4 – 10, 2025",poppy,22
"May 11 – 17, 2025",poppy,21
"May 18 – 24, 2025",poppy,20
"May 25 – 31, 2025",poppy,21
"Jun 1 – 7, 2025",poppy,21
"Jun 8 – 14, 2025",poppy,20
"Jun 15 – 21, 2025",poppy,21
"Jun 22 – 28, 2025",poppy,20
"Jun 29 – Jul 5, 2025",poppy,21
"Jul 6 – 12, 2025",poppy,19
"Jul 13 – 19, 2025",poppy,20
"Jul 20 – 26, 2025",poppy,21
"Jul 27 – Aug 2, 2025",poppy,21
"Aug 3 – 9, 2025",poppy,20
"Aug 10 – 16, 2025",poppy,19
"Aug 17 – 23, 2025",poppy,18
"Aug 24 – 30, 2025",poppy,19
"Aug 31 – Sep 6, 2025",poppy,19
"Sep 7 – 13, 2025",poppy,18
"Sep 14 – 20, 2025",poppy,18
"Sep 21 – 27, 2025",poppy,19
"Sep 28 – Oct 4, 2025",poppy,20
"Oct 5 – 11, 2025",poppy,19
"Oct 12 – 18, 2025",poppy,20
"Oct 19 – 25, 2025",poppy,22
"Oct 26 – Nov 1, 2025",poppy,25
"Nov 2 – 8, 2025",poppy,33
"Nov 9 – 15, 2025",poppy,35
"Nov 16 – 22, 2025",poppy,23
"Nov 23 – 29, 2025",poppy,20
"Nov 30 – Dec 6, 2025",poppy,20
"Dec 7 – 13, 2025",poppy,20
"Dec 14 – 20, 2025",poppy,20
"Dec 21 – 27, 2025",poppy,21
"Dec 28, 2025 – Jan 3, 2026",poppy,21
"Jan 4 – 10, 2026",poppy,21
"Jan 11 – 17, 2026",poppy,24
"Jan 18 – 24, 2026",poppy,24
"Jan 25 – 31, 2026",poppy,24
"Feb 1 – 7, 2026",poppy,25
"Feb 8 – 14, 2026",poppy,31
"Feb 15 – 21, 2026",poppy,90
"Feb 22 – 28, 2026",poppy,100
"Mar 1 – 7, 2026",poppy,78
"Mar 8 – 14, 2026",poppy,96
"Mar 2 – 8, 2025",lotus,56
"Mar 9 – 15, 2025",lotus,60
"Mar 16 – 22, 2025",lotus,67
"Mar 23 – 29, 2025",lotus,70
"Mar 30 – Apr 5, 2025",lotus,74
"Apr 6 – 12, 2025",lotus,100
"Apr 13 – 19, 2025",lotus,56
"Apr 20 – 26, 2025",lotus,40
"Apr 27 – May 3, 2025",lotus,34
"May 4 – 10, 2025",lotus,32
"May 11 – 17, 2025",lotus,28
"May 18 – 24, 2025",lotus,28
"May 25 – 31, 2025",lotus,27
"Jun 1 – 7, 2025",lotus,27
"Jun 8 – 14, 2025",lotus,26
"Jun 15 – 21, 2025",lotus,25
"Jun 22 – 28, 2025",lotus,25
"Jun 29 – Jul 5, 2025",lotus,25
"Jul 6 – 12, 2025",lotus,23
"Jul 13 – 19, 2025",lotus,24
"Jul 20 – 26, 2025",lotus,25
"Jul 27 – Aug 2, 2025",lotus,28
"Aug 3 – 9, 2025",lotus,29
"Aug 10 – 16, 2025",lotus,27
"Aug 17 – 23, 2025",lotus,26
"Aug 24 – 30, 2025",lotus,24
"Aug 31 – Sep 6, 2025",lotus,26
"Sep 7 – 13, 2025",lotus,24
"Sep 14 – 20, 2025",lotus,27
"Sep 21 – 27, 2025",lotus,23
"Sep 28 – Oct 4, 2025",lotus,23
"Oct 5 – 11, 2025",lotus,23
"Oct 12 – 18, 2025",lotus,23
"Oct 19 – 25, 2025",lotus,22
"Oct 26 – Nov 1, 2025",lotus,22
"Nov 2 – 8, 2025",lotus,21
"Nov 9 – 15, 2025",lotus,22
"Nov 16 – 22, 2025",lotus,22
"Nov 23 – 29, 2025",lotus,23
"Nov 30 – Dec 6, 2025",lotus,23
"Dec 7 – 13, 2025",lotus,22
"Dec 14 – 20, 2025",lotus,22
"Dec 21 – 27, 2025",lotus,24
"Dec 28, 2025 – Jan 3, 2026",lotus,26
"Jan 4 – 10, 2026",lotus,24
"Jan 11 – 17, 2026",lotus,25
"Jan 18 – 24, 2026",lotus,25
"Jan 25 – 31, 2026",lotus,25
"Feb 1 – 7, 2026",lotus,27
"Feb 8 – 14, 2026",lotus,29
"Feb 15 – 21, 2026",lotus,41
"Feb 22 – 28, 2026",lotus,30
"Mar 1 – 7, 2026",lotus,23
"Mar 8 – 14, 2026",lotus,25
"Mar 2 – 8, 2025",jasmine,49
"Mar 9 – 15, 2025",jasmine,48
"Mar 16 – 22, 2025",jasmine,55
"Mar 23 – 29, 2025",jasmine,65
"Mar 30 – Apr 5, 2025",jasmine,53
"Apr 6 – 12, 2025",jasmine,49
"Apr 13 – 19, 2025",jasmine,53
"Apr 20 – 26, 2025",jasmine,47
"Apr 27 – May 3, 2025",jasmine,46
"May 4 – 10, 2025",jasmine,50
"May 11 – 17, 2025",jasmine,67
"May 18 – 24, 2025",jasmine,48
"May 25 – 31, 2025",jasmine,54
"Jun 1 – 7, 2025",jasmine,50
"Jun 8 – 14, 2025",jasmine,44
"Jun 15 – 21, 2025",jasmine,46
"Jun 22 – 28, 2025",jasmine,52
"Jun 29 – Jul 5, 2025",jasmine,49
"Jul 6 – 12, 2025",jasmine,42
"Jul 13 – 19, 2025",jasmine,39
"Jul 20 – 26, 2025",jasmine,41
"Jul 27 – Aug 2, 2025",jasmine,47
"Aug 3 – 9, 2025",jasmine,46
"Aug 10 – 16, 2025",jasmine,56
"Aug 17 – 23, 2025",jasmine,60
"Aug 24 – 30, 2025",jasmine,53
"Aug 31 – Sep 6, 2025",jasmine,47
"Sep 7 – 13, 2025",jasmine,43
"Sep 14 – 20, 2025",jasmine,48
"Sep 21 – 27, 2025",jasmine,50
"Sep 28 – Oct 4, 2025",jasmine,47
"Oct 5 – 11, 2025",jasmine,52
"Oct 12 – 18, 2025",jasmine,58
"Oct 19 – 25, 2025",jasmine,50
"Oct 26 – Nov 1, 2025",jasmine,47
"Nov 2 – 8, 2025",jasmine,55
"Nov 9 – 15, 2025",jasmine,47
"Nov 16 – 22, 2025",jasmine,47
"Nov 23 – 29, 2025",jasmine,43
"Nov 30 – Dec 6, 2025",jasmine,45
"Dec 7 – 13, 2025",jasmine,59
"Dec 14 – 20, 2025",jasmine,100
"Dec 21 – 27, 2025",jasmine,70
"Dec 28, 2025 – Jan 3, 2026",jasmine,64
"Jan 4 – 10, 2026",jasmine,59
"Jan 11 – 17, 2026",jasmine,58
"Jan 18 – 24, 2026",jasmine,59
"Jan 25 – 31, 2026",jasmine,50
"Feb 1 – 7, 2026",jasmine,50
"Feb 8 – 14, 2026",jasmine,56
"Feb 15 – 21, 2026",jasmine,62
"Feb 22 – 28, 2026",jasmine,54
"Mar 1 – 7, 2026",jasmine,80
"Mar 8 – 14, 2026",jasmine,48
"Mar 2 – 8, 2025",violet,97
"Mar 9 – 15, 2025",violet,96
"Mar 16 – 22, 2025",violet,94
"Mar 23 – 29, 2025",violet,98
"Mar 30 – Apr 5, 2025",violet,87
"Apr 6 – 12, 2025",violet,90
"Apr 13 – 19, 2025",violet,86
"Apr 20 – 26, 2025",violet,90
"Apr 27 – May 3, 2025",violet,84
"May 4 – 10, 2025",violet,80
"May 11 – 17, 2025",violet,81
"May 18 – 24, 2025",violet,82
"May 25 – 31, 2025",violet,79
"Jun 1 – 7, 2025",violet,82
"Jun 8 – 14, 2025",violet,84
"Jun 15 – 21, 2025",violet,85
"Jun 22 – 28, 2025",violet,89
"Jun 29 – Jul 5, 2025",violet,75
"Jul 6 – 12, 2025",violet,83
"Jul 13 – 19, 2025",violet,92
"Jul 20 – 26, 2025",violet,96
"Jul 27 – Aug 2, 2025",violet,92
"Aug 3 – 9, 2025",violet,97
"Aug 10 – 16, 2025",violet,91
"Aug 17 – 23, 2025",violet,97
"Aug 24 – 30, 2025",violet,91
"Aug 31 – Sep 6, 2025",violet,92
"Sep 7 – 13, 2025",violet,91
"Sep 14 – 20, 2025",violet,93
"Sep 21 – 27, 2025",violet,97
"Sep 28 – Oct 4, 2025",violet,90
"Oct 5 – 11, 2025",violet,92
"Oct 12 – 18, 2025",violet,97
"Oct 19 – 25, 2025",violet,90
"Oct 26 – Nov 1, 2025",violet,88
"Nov 2 – 8, 2025",violet,82
"Nov 9 – 15, 2025",violet,83
"Nov 16 – 22, 2025",violet,83
"Nov 23 – 29, 2025",violet,86
"Nov 30 – Dec 6, 2025",violet,84
"Dec 7 – 13, 2025",violet,82
"Dec 14 – 20, 2025",violet,79
"Dec 21 – 27, 2025",violet,86
"Dec 28, 2025 – Jan 3, 2026",violet,86
"Jan 4 – 10, 2026",violet,89
"Jan 11 – 17, 2026",violet,88
"Jan 18 – 24, 2026",violet,86
"Jan 25 – 31, 2026",violet,89
"Feb 1 – 7, 2026",violet,92
"Feb 8 – 14, 2026",violet,94
"Feb 15 – 21, 2026",violet,100
"Feb 22 – 28, 2026",violet,86
"Mar 1 – 7, 2026",violet,90
"Mar 8 – 14, 2026",violet,97
"Mar 2 – 8, 2025",begonia,52
"Mar 9 – 15, 2025",begonia,52
"Mar 16 – 22, 2025",begonia,48
"Mar 23 – 29, 2025",begonia,55
"Mar 30 – Apr 5, 2025",begonia,64
"Apr 6 – 12, 2025",begonia,64
"Apr 13 – 19, 2025",begonia,70
"Apr 20 – 26, 2025",begonia,78
"Apr 27 – May 3, 2025",begonia,91
"May 4 – 10, 2025",begonia,100
"May 11 – 17, 2025",begonia,100
"May 18 – 24, 2025",begonia,86
"May 25 – 31, 2025",begonia,81
"Jun 1 – 7, 2025",begonia,75
"Jun 8 – 14, 2025",begonia,63
"Jun 15 – 21, 2025",begonia,56
"Jun 22 – 28, 2025",begonia,50
"Jun 29 – Jul 5, 2025",begonia,50
"Jul 6 – 12, 2025",begonia,48
"Jul 13 – 19, 2025",begonia,50
"Jul 20 – 26, 2025",begonia,45
"Jul 27 – Aug 2, 2025",begonia,43
"Aug 3 – 9, 2025",begonia,44
"Aug 10 – 16, 2025",begonia,43
"Aug 17 – 23, 2025",begonia,43
"Aug 24 – 30, 2025",begonia,47
"Aug 31 – Sep 6, 2025",begonia,44
"Sep 7 – 13, 2025",begonia,43
"Sep 14 – 20, 2025",begonia,43
"Sep 21 – 27, 2025",begonia,42
"Sep 28 – Oct 4, 2025",begonia,43
"Oct 5 – 11, 2025",begonia,45
"Oct 12 – 18, 2025",begonia,50
"Oct 19 – 25, 2025",begonia,78
"Oct 26 – Nov 1, 2025",begonia,77
"Nov 2 – 8, 2025",begonia,78
"Nov 9 – 15, 2025",begonia,64
"Nov 16 – 22, 2025",begonia,46
"Nov 23 – 29, 2025",begonia,48
"Nov 30 – Dec 6, 2025",begonia,44
"Dec 7 – 13, 2025",begonia,42
"Dec 14 – 20, 2025",begonia,43
"Dec 21 – 27, 2025",begonia,45
"Dec 28, 2025 – Jan 3, 2026",begonia,58
"Jan 4 – 10, 2026",begonia,52
"Jan 11 – 17, 2026",begonia,56
"Jan 18 – 24, 2026",begonia,57
"Jan 25 – 31, 2026",begonia,58
"Feb 1 – 7, 2026",begonia,64
"Feb 8 – 14, 2026",begonia,60
"Feb 15 – 21, 2026",begonia,68
"Feb 22 – 28, 2026",begonia,59
"Mar 1 – 7, 2026",begonia,68
"Mar 8 – 14, 2026",begonia,90
"Mar 2 – 8, 2025",camellia,63
"Mar 9 – 15, 2025",camellia,62
"Mar 16 – 22, 2025",camellia,71
"Mar 23 – 29, 2025",camellia,74
"Mar 30 – Apr 5, 2025",camellia,74
"Apr 6 – 12, 2025",camellia,73
"Apr 13 – 19, 2025",camellia,66
"Apr 20 – 26, 2025",camellia,64
"Apr 27 – May 3, 2025",camellia,63
"May 4 – 10, 2025",camellia,67
"May 11 – 17, 2025",camellia,60
"May 18 – 24, 2025",camellia,57
"May 25 – 31, 2025",camellia,55
"Jun 1 – 7, 2025",camellia,56
"Jun 8 – 14, 2025",camellia,52
"Jun 15 – 21, 2025",camellia,52
"Jun 22 – 28, 2025",camellia,54
"Jun 29 – Jul 5, 2025",camellia,49
"Jul 6 – 12, 2025",camellia,53
"Jul 13 – 19, 2025",camellia,50
"Jul 20 – 26, 2025",camellia,55
"Jul 27 – Aug 2, 2025",camellia,54
"Aug 3 – 9, 2025",camellia,56
"Aug 10 – 16, 2025",camellia,65
"Aug 17 – 23, 2025",camellia,61
"Aug 24 – 30, 2025",camellia,60
"Aug 31 – Sep 6, 2025",camellia,57
"Sep 7 – 13, 2025",camellia,51
"Sep 14 – 20, 2025",camellia,53
"Sep 21 – 27, 2025",camellia,59
"Sep 28 – Oct 4, 2025",camellia,58
"Oct 5 – 11, 2025",camellia,57
"Oct 12 – 18, 2025",camellia,53
"Oct 19 – 25, 2025",camellia,59
"Oct 26 – Nov 1, 2025",camellia,55
"Nov 2 – 8, 2025",camellia,55
"Nov 9 – 15, 2025",camellia,58
"Nov 16 – 22, 2025",camellia,59
"Nov 23 – 29, 2025",camellia,59
"Nov 30 – Dec 6, 2025",camellia,55
"Dec 7 – 13, 2025",camellia,54
"Dec 14 – 20, 2025",camellia,50
"Dec 21 – 27, 2025",camellia,52
"Dec 28, 2025 – Jan 3, 2026",camellia,56
"Jan 4 – 10, 2026",camellia,59
"Jan 11 – 17, 2026",camellia,57
"Jan 18 – 24, 2026",camellia,66
"Jan 25 – 31, 2026",camellia,66
"Feb 1 – 7, 2026",camellia,69
"Feb 8 – 14, 2026",camellia,91
"Feb 15 – 21, 2026",camellia,100
"Feb 22 – 28, 2026",camellia,86
"Mar 1 – 7, 2026",camellia,77
"Mar 8 – 14, 2026",camellia,95
"Mar 2 – 8, 2025",clematis,39
"Mar 9 – 15, 2025",clematis,46
"Mar 16 – 22, 2025",clematis,51
"Mar 23 – 29, 2025",clematis,54
"Mar 30 – Apr 5, 2025",clematis,61
"Apr 6 – 12, 2025",clematis,63
"Apr 13 – 19, 2025",clematis,69
"Apr 20 – 26, 2025",clematis,87
"Apr 27 – May 3, 2025",clematis,100
"May 4 – 10, 2025",clematis,98
"May 11 – 17, 2025",clematis,99
"May 18 – 24, 2025",clematis,85
"May 25 – 31, 2025",clematis,88
"Jun 1 – 7, 2025",clematis,75
"Jun 8 – 14, 2025",clematis,70
"Jun 15 – 21, 2025",clematis,64
"Jun 22 – 28, 2025",clematis,54
"Jun 29 – Jul 5, 2025",clematis,61
"Jul 6 – 12, 2025",clematis,44
"Jul 13 – 19, 2025",clematis,41
"Jul 20 – 26, 2025",clematis,38
"Jul 27 – Aug 2, 2025",clematis,35
"Aug 3 – 9, 2025",clematis,38
"Aug 10 – 16, 2025",clematis,33
"Aug 17 – 23, 2025",clematis,34
"Aug 24 – 30, 2025",clematis,33
"Aug 31 – Sep 6, 2025",clematis,33
"Sep 7 – 13, 2025",clematis,30
"Sep 14 – 20, 2025",clematis,30
"Sep 21 – 27, 2025",clematis,29
"Sep 28 – Oct 4, 2025",clematis,28
"Oct 5 – 11, 2025",clematis,28
"Oct 12 – 18, 2025",clematis,27
"Oct 19 – 25, 2025",clematis,26
"Oct 26 – Nov 1, 2025",clematis,24
"Nov 2 – 8, 2025",clematis,23
"Nov 9 – 15, 2025",clematis,23
"Nov 16 – 22, 2025",clematis,21
"Nov 23 – 29, 2025",clematis,17
"Nov 30 – Dec 6, 2025",clematis,16
"Dec 7 – 13, 2025",clematis,16
"Dec 14 – 20, 2025",clematis,15
"Dec 21 – 27, 2025",clematis,16
"Dec 28, 2025 – Jan 3, 2026",clematis,17
"Jan 4 – 10, 2026",clematis,16
"Jan 11 – 17, 2026",clematis,19
"Jan 18 – 24, 2026",clematis,19
"Jan 25 – 31, 2026",clematis,21
"Feb 1 – 7, 2026",clematis,26
"Feb 8 – 14, 2026",clematis,30
"Feb 15 – 21, 2026",clematis,32
"Feb 22 – 28, 2026",clematis,39
"Mar 1 – 7, 2026",clematis,52
"Mar 8 – 14, 2026",clematis,71
"Mar 2 – 8, 2025",crocus,100
"Mar 9 – 15, 2025",crocus,99
"Mar 16 – 22, 2025",crocus,87
"Mar 23 – 29, 2025",crocus,80
"Mar 30 – Apr 5, 2025",crocus,73
"Apr 6 – 12, 2025",crocus,66
"Apr 13 – 19, 2025",crocus,100
"Apr 20 – 26, 2025",crocus,65
"Apr 27 – May 3, 2025",crocus,59
"May 4 – 10, 2025",crocus,51
"May 11 – 17, 2025",crocus,51
"May 18 – 24, 2025",crocus,49
"May 25 – 31, 2025",crocus,49
"Jun 1 – 7, 2025",crocus,45
"Jun 8 – 14, 2025",crocus,54
"Jun 15 – 21, 2025",crocus,79
"Jun 22 – 28, 2025",crocus,52
"Jun 29 – Jul 5, 2025",crocus,43
"Jul 6 – 12, 2025",crocus,41
"Jul 13 – 19, 2025",crocus,39
"Jul 20 – 26, 2025",crocus,44
"Jul 27 – Aug 2, 2025",crocus,44
"Aug 3 – 9, 2025",crocus,55
"Aug 10 – 16, 2025",crocus,54
"Aug 17 – 23, 2025",crocus,57
"Aug 24 – 30, 2025",crocus,56
"Aug 31 – Sep 6, 2025",crocus,65
"Sep 7 – 13, 2025",crocus,64
"Sep 14 – 20, 2025",crocus,63
"Sep 21 – 27, 2025",crocus,64
"Sep 28 – Oct 4, 2025",crocus,65
"Oct 5 – 11, 2025",crocus,71
"Oct 12 – 18, 2025",crocus,64
"Oct 19 – 25, 2025",crocus,65
"Oct 26 – Nov 1, 2025",crocus,65
"Nov 2 – 8, 2025",crocus,64
"Nov 9 – 15, 2025",crocus,56
"Nov 16 – 22, 2025",crocus,55
"Nov 23 – 29, 2025",crocus,54
"Nov 30 – Dec 6, 2025",crocus,52
"Dec 7 – 13, 2025",crocus,50
"Dec 14 – 20, 2025",crocus,50
"Dec 21 – 27, 2025",crocus,44
"Dec 28, 2025 – Jan 3, 2026",crocus,48
"Jan 4 – 10, 2026",crocus,44
"Jan 11 – 17, 2026",crocus,49
"Jan 18 – 24, 2026",crocus,52
"Jan 25 – 31, 2026",crocus,60
"Feb 1 – 7, 2026",crocus,66
"Feb 8 – 14, 2026",crocus,81
"Feb 15 – 21, 2026",crocus,82
"Feb 22 – 28, 2026",crocus,88
"Mar 1 – 7, 2026",crocus,89
"Mar 8 – 14, 2026",crocus,92
"Mar 2 – 8, 2025",daffodil,75
"Mar 9 – 15, 2025",daffodil,74
"Mar 16 – 22, 2025",daffodil,90
"Mar 23 – 29, 2025",daffodil,100
"Mar 30 – Apr 5, 2025",daffodil,100
"Apr 6 – 12, 2025",daffodil,78
"Apr 13 – 19, 2025",daffodil,89
"Apr 20 – 26, 2025",daffodil,85
"Apr 27 – May 3, 2025",daffodil,73
"May 4 – 10, 2025",daffodil,56
"May 11 – 17, 2025",daffodil,57
"May 18 – 24, 2025",daffodil,46
"May 25 – 31, 2025",daffodil,45
"Jun 1 – 7, 2025",daffodil,42
"Jun 8 – 14, 2025",daffodil,41
"Jun 15 – 21, 2025",daffodil,43
"Jun 22 – 28, 2025",daffodil,42
"Jun 29 – Jul 5, 2025",daffodil,38
"Jul 6 – 12, 2025",daffodil,39
"Jul 13 – 19, 2025",daffodil,41
"Jul 20 – 26, 2025",daffodil,44
"Jul 27 – Aug 2, 2025",daffodil,47
"Aug 3 – 9, 2025",daffodil,46
"Aug 10 – 16, 2025",daffodil,44
"Aug 17 – 23, 2025",daffodil,57
"Aug 24 – 30, 2025",daffodil,57
"Aug 31 – Sep 6, 2025",daffodil,49
"Sep 7 – 13, 2025",daffodil,45
"Sep 14 – 20, 2025",daffodil,43
"Sep 21 – 27, 2025",daffodil,45
"Sep 28 – Oct 4, 2025",daffodil,42
"Oct 5 – 11, 2025",daffodil,47
"Oct 12 – 18, 2025",daffodil,46
"Oct 19 – 25, 2025",daffodil,42
"Oct 26 – Nov 1, 2025",daffodil,40
"Nov 2 – 8, 2025",daffodil,42
"Nov 9 – 15, 2025",daffodil,39
"Nov 16 – 22, 2025",daffodil,39
"Nov 23 – 29, 2025",daffodil,36
"Nov 30 – Dec 6, 2025",daffodil,36
"Dec 7 – 13, 2025",daffodil,34
"Dec 14 – 20, 2025",daffodil,35
"Dec 21 – 27, 2025",daffodil,34
"Dec 28, 2025 – Jan 3, 2026",daffodil,37
"Jan 4 – 10, 2026",daffodil,39
"Jan 11 – 17, 2026",daffodil,43
"Jan 18 – 24, 2026",daffodil,44
"Jan 25 – 31, 2026",daffodil,42
"Feb 1 – 7, 2026",daffodil,50
"Feb 8 – 14, 2026",daffodil,67
"Feb 15 – 21, 2026",daffodil,79
"Feb 22 – 28, 2026",daffodil,74
"Mar 1 – 7, 2026",daffodil,88
"Mar 8 – 14, 2026",daffodil,91
"Mar 2 – 8, 2025",dahlia,67
"Mar 9 – 15, 2025",dahlia,68
"Mar 16 – 22, 2025",dahlia,72
"Mar 23 – 29, 2025",dahlia,73
"Mar 30 – Apr 5, 2025",dahlia,74
"Apr 6 – 12, 2025",dahlia,76
"Apr 13 – 19, 2025",dahlia,77
"Apr 20 – 26, 2025",dahlia,85
"Apr 27 – May 3, 2025",dahlia,94
"May 4 – 10, 2025",dahlia,100
"May 11 – 17, 2025",dahlia,98
"May 18 – 24, 2025",dahlia,80
"May 25 – 31, 2025",dahlia,82
"Jun 1 – 7, 2025",dahlia,83
"Jun 8 – 14, 2025",dahlia,76
"Jun 15 – 21, 2025",dahlia,82
"Jun 22 – 28, 2025",dahlia,70
"Jun 29 – Jul 5, 2025",dahlia,65
"Jul 6 – 12, 2025",dahlia,65
"Jul 13 – 19, 2025",dahlia,63
"Jul 20 – 26, 2025",dahlia,65
"Jul 27 – Aug 2, 2025",dahlia,64
"Aug 3 – 9, 2025",dahlia,77
"Aug 10 – 16, 2025",dahlia,75
"Aug 17 – 23, 2025",dahlia,73
"Aug 24 – 30, 2025",dahlia,70
"Aug 31 – Sep 6, 2025",dahlia,70
"Sep 7 – 13, 2025",dahlia,65
"Sep 14 – 20, 2025",dahlia,70
"Sep 21 – 27, 2025",dahlia,69
"Sep 28 – Oct 4, 2025",dahlia,70
"Oct 5 – 11, 2025",dahlia,69
"Oct 12 – 18, 2025",dahlia,71
"Oct 19 – 25, 2025",dahlia,74
"Oct 26 – Nov 1, 2025",dahlia,65
"Nov 2 – 8, 2025",dahlia,71
"Nov 9 – 15, 2025",dahlia,65
"Nov 16 – 22, 2025",dahlia,61
"Nov 23 – 29, 2025",dahlia,57
"Nov 30 – Dec 6, 2025",dahlia,58
"Dec 7 – 13, 2025",dahlia,55
"Dec 14 – 20, 2025",dahlia,74
"Dec 21 – 27, 2025",dahlia,71
"Dec 28, 2025 – Jan 3, 2026",dahlia,67
"Jan 4 – 10, 2026",dahlia,61
"Jan 11 – 17, 2026",dahlia,61
"Jan 18 – 24, 2026",dahlia,64
"Jan 25 – 31, 2026",dahlia,60
"Feb 1 – 7, 2026",dahlia,65
"Feb 8 – 14, 2026",dahlia,75
"Feb 15 – 21, 2026",dahlia,75
"Feb 22 – 28, 2026",dahlia,69
"Mar 1 – 7, 2026",dahlia,73
"Mar 8 – 14, 2026",dahlia,86
"Mar 2 – 8, 2025",dandelion,45
"Mar 9 – 15, 2025",dandelion,50
"Mar 16 – 22, 2025",dandelion,48
"Mar 23 – 29, 2025",dandelion,59
"Mar 30 – Apr 5, 2025",dandelion,66
"Apr 6 – 12, 2025",dandelion,61
"Apr 13 – 19, 2025",dandelion,61
"Apr 20 – 26, 2025",dandelion,100
"Apr 27 – May 3, 2025",dandelion,92
"May 4 – 10, 2025",dandelion,74
"May 11 – 17, 2025",dandelion,67
"May 18 – 24, 2025",dandelion,65
"May 25 – 31, 2025",dandelion,55
"Jun 1 – 7, 2025",dandelion,52
"Jun 8 – 14, 2025",dandelion,52
"Jun 15 – 21, 2025",dandelion,58
"Jun 22 – 28, 2025",dandelion,52
"Jun 29 – Jul 5, 2025",dandelion,47
"Jul 6 – 12, 2025",dandelion,46
"Jul 13 – 19, 2025",dandelion,51
"Jul 20 – 26, 2025",dandelion,54
"Jul 27 – Aug 2, 2025",dandelion,59
"Aug 3 – 9, 2025",dandelion,50
"Aug 10 – 16, 2025",dandelion,52
"Aug 17 – 23, 2025",dandelion,48
"Aug 24 – 30, 2025",dandelion,47
"Aug 31 – Sep 6, 2025",dandelion,47
"Sep 7 – 13, 2025",dandelion,47
"Sep 14 – 20, 2025",dandelion,48
"Sep 21 – 27, 2025",dandelion,47
"Sep 28 – Oct 4, 2025",dandelion,48
"Oct 5 – 11, 2025",dandelion,46
"Oct 12 – 18, 2025",dandelion,47
"Oct 19 – 25, 2025",dandelion,51
"Oct 26 – Nov 1, 2025",dandelion,45
"Nov 2 – 8, 2025",dandelion,49
"Nov 9 – 15, 2025",dandelion,50
"Nov 16 – 22, 2025",dandelion,51
"Nov 23 – 29, 2025",dandelion,44
"Nov 30 – Dec 6, 2025",dandelion,46
"Dec 7 – 13, 2025",dandelion,40
"Dec 14 – 20, 2025",dandelion,44
"Dec 21 – 27, 2025",dandelion,40
"Dec 28, 2025 – Jan 3, 2026",dandelion,46
"Jan 4 – 10, 2026",dandelion,45
"Jan 11 – 17, 2026",dandelion,47
"Jan 18 – 24, 2026",dandelion,45
"Jan 25 – 31, 2026",dandelion,54
"Feb 1 – 7, 2026",dandelion,60
"Feb 8 – 14, 2026",dandelion,69
"Feb 15 – 21, 2026",dandelion,75
"Feb 22 – 28, 2026",dandelion,57
"Mar 1 – 7, 2026",dandelion,58
"Mar 8 – 14, 2026",dandelion,54
"Mar 2 – 8, 2025",freesia,75
"Mar 9 – 15, 2025",freesia,76
"Mar 16 – 22, 2025",freesia,78
"Mar 23 – 29, 2025",freesia,80
"Mar 30 – Apr 5, 2025",freesia,81
"Apr 6 – 12, 2025",freesia,75
"Apr 13 – 19, 2025",freesia,71
"Apr 20 – 26, 2025",freesia,72
"Apr 27 – May 3, 2025",freesia,74
"May 4 – 10, 2025",freesia,75
"May 11 – 17, 2025",freesia,72
"May 18 – 24, 2025",freesia,68
"May 25 – 31, 2025",freesia,68
"Jun 1 – 7, 2025",freesia,66
"Jun 8 – 14, 2025",freesia,63
"Jun 15 – 21, 2025",freesia,59
"Jun 22 – 28, 2025",freesia,57
"Jun 29 – Jul 5, 2025",freesia,58
"Jul 6 – 12, 2025",freesia,59
"Jul 13 – 19, 2025",freesia,60
"Jul 20 – 26, 2025",freesia,62
"Jul 27 – Aug 2, 2025",freesia,62
"Aug 3 – 9, 2025",freesia,65
"Aug 10 – 16, 2025",freesia,58
"Aug 17 – 23, 2025",freesia,68
"Aug 24 – 30, 2025",freesia,70
"Aug 31 – Sep 6, 2025",freesia,70
"Sep 7 – 13, 2025",freesia,71
"Sep 14 – 20, 2025",freesia,67
"Sep 21 – 27, 2025",freesia,66
"Sep 28 – Oct 4, 2025",freesia,70
"Oct 5 – 11, 2025",freesia,62
"Oct 12 – 18, 2025",freesia,68
"Oct 19 – 25, 2025",freesia,75
"Oct 26 – Nov 1, 2025",freesia,73
"Nov 2 – 8, 2025",freesia,75
"Nov 9 – 15, 2025",freesia,74
"Nov 16 – 22, 2025",freesia,72
"Nov 23 – 29, 2025",freesia,73
"Nov 30 – Dec 6, 2025",freesia,73
"Dec 7 – 13, 2025",freesia,68
"Dec 14 – 20, 2025",freesia,76
"Dec 21 – 27, 2025",freesia,70
"Dec 28, 2025 – Jan 3, 2026",freesia,68
"Jan 4 – 10, 2026",freesia,66
"Jan 11 – 17, 2026",freesia,66
